,Poor or fair health raw value,Low birthweight raw value,Food environment index raw value,Access to exercise opportunities raw value,Excessive drinking raw value,Sexually transmitted infections raw value,Ratio of population to primary care physicians.,Ratio of population to mental health providers.,High school graduation raw value,Some college raw value,Unemployment raw value,Income inequality raw value,Children in single-parent households raw value,Violent crime raw value,Severe housing problems raw value,Percentage of households with overcrowding,Percentage of households with lack of kitchen or plumbing facilities,Insufficient sleep raw value,Ratio of population to primary care providers other than physicians.,Population raw value,% below 18 years of age raw value,% not proficient in English raw value,% Females raw value,% Rural raw value
716,-0.00031298816217713955,-0.3019794016078046,0.4584445562050756,0.49869727169837114,-0.5238219180506116,0.18884917006390742,-0.28734415026734295,-0.4022411327359981,0.3288061561863039,-0.8500580490218946,-1.2474655750407138,-0.945087350455307,-0.1315825972871001,0.5793368023351451,-0.09674453214916685,0.014923203976941312,-0.20224524447314818,-0.2377473066350664,-0.12395074011333963,0.30435592707541004,1.5763239821488224,0.7193905990799296,0.3030161376759009,-1.208267315132372
2514,0.713997159906473,1.1812943961801583,0.4584445562050756,-1.7550615135901333,-1.1400679271202472,-0.6421868177862106,1.574835688702518,-0.1198670922352716,-0.1733289851827914,-2.102772262838819,-0.1531423871912685,-0.6607374270112921,-0.3544431379245886,0.2473892855878019,-0.041829876445571214,0.22164883882203085,-0.057577201199809705,0.4714408953207624,0.051721876442232174,-0.25288736931466366,-0.057763305705513204,-0.547342481536691,0.2997631643636809,1.3169987318141874
2742,-0.3296779056244248,0.06388051684728874,-0.4019262451306626,1.3175198811136384,0.12266840417239383,0.3407460798200617,-0.33005974029045304,-0.3490610949951585,0.1422169313955156,0.4330883167136686,-0.5629028504427611,-0.15256131576255577,0.06529753893742757,0.8222505401857394,0.7010231946229002,0.8273357125175924,-0.2108686755546404,0.4032787105202236,-0.2281418681108714,5.857401424168718,1.2545038836146463,1.5830706633348133,0.5149741719843947,-1.8219633222653866
2048,-0.6766115562273352,-0.6063444094538517,1.0607041171400917,0.663701859940474,0.7735633120264269,-0.43992409058459453,-0.0065520298594949275,0.2533000317850412,1.1731089523223353,0.6192683501593285,-0.5340973567328465,-0.959624402659504,-0.7327629262784934,-1.0206845058077496,-0.7833963141000525,-0.47857689240281626,-0.2940526413161236,0.339351539214529,1.0482172095839595,-0.17381220657028637,0.594882990514162,-0.5252455700172947,0.12639098994681908,-0.6184037310737833
1901,-0.22089281848898215,0.014852663112993455,-0.4879633252642361,0.1330775763646742,-0.4910645916654326,-0.23806109209286316,-0.2949770710304748,-0.5792780490036247,0.019736149650434853,-0.5549140249938332,-0.20354236521648225,0.015954553337452423,0.8191059904367439,-0.3763242333955074,-0.0037484008742701626,0.2561707205938757,-0.4657195880797715,0.2345665351014191,-0.2632535506281387,-0.043156233498385634,-0.8723266710003201,0.05308168215842842,0.24997677358554427,-0.5066176974132959
1168,0.5684892950807638,1.4013063954979228,-0.3158891649970891,-0.9891643824720883,-0.4725923870321299,0.5070332231320621,2.035448750597154,-0.3298394602873279,-3.205591102970022,-1.755656121943088,0.5775890830442175,2.12986133309873,0.7771189114480287,0.11963413819728434,-0.055918394171452786,0.6825180797445088,-0.4734910184486539,0.5955035949702124,0.7337057660932594,-0.24349238965840772,0.0017519090643416963,-0.3999115335587702,0.2045426541910293,0.7735520402520808
82,1.3810781300383324,-1.594595254355573,-3.4992611299393204,-0.6859152709425365,0.8152193732571558,2.3158056353599523,-0.41431913544631593,-0.06904258830511131,0.1602832672202662,-0.8113774592738581,4.342076842773631,-0.46699396896678447,1.8283405600932645,-0.23793288576296054,2.634013420550155,2.735108749662433,8.40994188732206,0.324033924717862,-0.6963021867926156,-0.30639881943732056,1.6714468974642172,-0.2560627336494162,-0.8056992853802423,1.3169987318141874
2542,-0.29330999958364934,0.10282359758716084,0.02825915553720651,0.7547833282903504,0.6177678362720841,-0.08576445362682437,-0.4092822552357273,-0.04849875132788663,0.7274028886220125,0.8118052236993349,0.38558525153108913,-0.24472041645825907,-0.781154480819739,-0.3551701883342113,0.12809833824718736,0.7885691211762081,-0.14009131527589658,-0.43593106246786134,0.07113328962048279,0.7770323963582775,1.2934849365431256,0.769626776860164,-0.2062126914293505,-1.1465335250419573
1460,3.652123883087414,4.606476044559317,-3.757372370340041,-1.9735231614885744,-2.418581824919629,2.5376550693459143,1.9748960923140209,0.25886655654222424,-0.7968023953167701,-1.4903784301819758,2.4548725687275272,1.110456982877378,2.847185516144326,-0.23793288576296054,0.8421203501555219,0.42648772920763434,-0.4803732411079474,1.6288305050718503,-0.33859092168636273,-0.2894374132122679,0.34054625620726614,-0.3229542575583362,1.4674711012917923,-0.05041194416383399
1893,1.1490459949765672,1.8749713376581263,-0.8321116457985317,-2.4584256935208946,-0.8053218027963255,1.164187222182372,-0.10407433795567787,-0.32236975779140403,-0.6334946863233276,-0.9274085258289507,0.412912436607007,0.7660047237706031,0.9029731447976489,0.9551075469102129,0.5432198003950284,0.19935964637419365,0.06373087749199277,1.0246982414540844,1.678602298831653,-0.23622621811218228,-0.7308872822268246,-0.26157661040326635,-0.9471378571402175,0.6336474294444912
