,Teen births raw value
2707,46.646106399
2908,42.391304348
1582,52.042740415
382,48.380952381
2356,38.240917782
2298,16.832579186
1370,27.9971285
3131,36.106750391999995
1842,19.420256645
2053,27.997769102
1512,39.41730934
552,15.479876161
222,19.729808259
1096,60.544611818999996
2724,43.774319066000004
8,49.574866695
1644,30.998851894
316,23.153172708
1328,26.180990324
427,24.149034039
2364,78.0
105,49.040356126
1808,67.937324602
142,40.360818781
121,58.729139923
2487,33.866586176
3001,55.418109847
1189,27.270089933
2316,31.28222757
2726,45.717199183999995
1525,32.39608802
115,45.491691637
1567,24.923547401
1414,67.233045261
3074,10.447562973
2932,7.9073707992
3087,33.98995402
1779,39.772727273
2526,45.590605572
672,13.232514178
2728,44.722719141000006
1814,53.58917514
1718,19.347037485
591,20.853080569
1562,40.830945559
888,29.004189494
1951,53.116621984
1877,17.87246211
2803,18.057838989
213,15.912339209
778,33.063379441
3077,16.482222745
800,12.508451657
2602,31.028368794000002
1611,21.749408983000002
3030,31.452820769000002
2399,12.732615082999999
2792,30.579490689
1684,30.579490689
2843,23.220973783
1343,16.268605054000002
273,30.579490689
71,45.871559633
2289,8.1166197719
1087,49.796747966999995
394,35.825878526
583,6.1966771441
2506,41.369340144
2118,26.934822025
2123,22.85803141
500,22.892597347
2860,38.808417600000006
2335,32.942145357
3120,20.04076087
2873,23.749606795
2512,44.444444444
1259,20.362212433
3054,9.8297349482
1936,36.227301473000004
205,40.231231935
733,23.020368808
2920,35.092418966
526,47.864506627
1533,15.977857457
898,42.625745951
377,19.123126672
2834,23.214913823000003
2812,14.972419228
1608,31.152647975
386,44.023772837
198,42.667523014
1050,50.210084034
590,31.553398058
519,40.633245383
2813,15.435310440999999
2405,30.579490689
429,58.195153061
1083,46.575342466
207,23.316912972
491,47.934063551
1889,13.022323984000002
3049,21.467514766
792,33.545647558
2615,37.742442775
1186,14.780950244000001
1185,21.986483018
2528,34.852546917
1498,22.378152854
2344,36.944551159
1410,38.790644609
83,22.236476374
2818,21.757026932
2338,25.51162661
20,41.162227603
1536,31.420956655999998
1702,20.607375271
1740,72.718154463
1405,54.21363392399999
2096,21.13271344
3085,19.65146459
2095,34.621068187
973,29.62962963
2924,11.243243243
883,15.470562957
1098,26.962727994
156,56.346109709
2392,30.579490689
886,15.0
3140,27.649769585
2322,27.657405046999997
2600,30.579490689
2258,8.7347240693
2658,50.938337802
2029,70.33144704899999
1868,15.981912054
1453,12.372037007000001
2778,25.337455697
458,18.611601685
2071,14.701384945
78,21.445067634
3051,20.877210577
1056,45.032657271000005
906,27.354765933
1745,30.579490689
2610,28.53745541
2827,19.026489176
380,41.334478106
947,29.458598726
1904,11.101973684
2112,39.570102589
715,24.91562438
2102,36.196100392
686,48.714637868
3006,29.659465396999998
1293,10.969712207
305,22.571148184
209,34.113584037
1655,10.332103321
2333,23.34563062
3116,27.083819753
1716,12.853470437
885,31.890303624
2781,30.579490689
917,30.736357659
2129,11.535981275
1945,36.16636528
191,30.499428136
2234,16.102486544
2957,26.639004149
1265,36.393910561
483,36.948176583
915,51.990722845
2725,50.35971223
277,35.003431709
988,30.579490689
2229,27.296057236
1245,23.147283928
2864,30.579490689
571,20.046862796
1435,24.646611091
993,26.218683239
1642,23.937469468000003
2626,33.138401559
585,27.392301195
3078,9.2806103567
1754,46.934140801999995
3134,23.308698124
1349,16.642547033
1007,26.026770392
674,39.150630392
1882,5.2556251613
855,15.821058374
447,43.485946615
1583,42.692939245
2212,19.27553776
